WorkingHour PassFail
2.21993	0
8.70732	1
2.06719	0
9.18611	1
4.88411	1
6.11744	1
7.65908	1
5.18418	1
2.96801	0
1.87721	0
0.807413	0
7.3844	1
4.41309	0
1.5831	0
8.79937	1
2.74086	0
4.14235	1
2.9608	0
6.28788	1
5.79838	1
5.99929	1
2.65819	0
2.84686	0
2.53588	0
3.27564	0
1.44164	0
1.65613	0
9.63931	1
9.60227	1
1.88415	0
0.243066	0
2.04556	0
6.99844	1
7.79515	1
0.229331	0
5.77663	1
0.0164217	0
5.15473	1
6.39795	1
9.85624	1
2.59098	0
8.02497	1
8.70483	1
9.2275	1
0.0221421	0
4.69488	1
9.81469	1
3.98945	1
8.13732	1
5.46456	1
7.70854	1
4.84931	1
0.291116	0
0.865257	0
1.11454	0
2.51245	0
9.64915	1
6.31766	1
8.1666	1
5.66082	1
6.35356	1
8.11902	1
9.26683	1
9.12627	1
8.24811	1
0.942027	0
3.61048	0
0.35509	0
5.46358	1
7.96143	1
0.511428	0
1.88668	0
3.65478	0
2.44291	0
7.95087	1
3.52095	0
6.38878	1
4.93415	1
5.835	1
9.39299	1
9.4354	1
1.11692	0
8.43555	1
3.46028	0
1.00827	0
3.83409	0
5.10355	1
9.61103	1
3.71513	0
0.123694	0
8.59707	1
1.11111	0
4.78339	0
8.4998	1
5.14738	1
4.46608	1
8.00476	1
0.203914	0
5.72619	1
4.11384	1
9.85137	1
8.01402	1
0.539621	0
1.90478	0
4.52419	1
7.02942	1
3.32048	0
3.59983	0
9.21471	1
9.53631	1
4.07686	0
8.98571	1
3.30253	0
0.827386	0
5.26718	1
6.60844	1
8.92984	1
9.65158	1
7.69933	1
7.59099	1
7.10049	1
7.01553	1
7.67331	1
9.74349	1
3.73715	0
0.830544	0
2.3964	0
2.21483	0
3.636	0
8.10314	1
0.600962	0
4.49744	1
8.13171	1
2.64238	0
0.63401	0
2.42108	0
0.850705	0
8.07777	1
1.7025	0
1.95345	0
8.14642	1
8.10286	1
5.89374	1
9.14734	1
0.598216	0
9.64997	1
5.70975	1
3.02518	0
8.25706	1
6.59417	1
9.86501	1
1.0749	0
5.80919	1
4.72828	1
6.52271	1
2.41859	0
0.311301	0
5.44232	1
3.6471	0
8.92333	1
4.59346	1
4.18654	0
6.32906	1
5.27179	1
9.61211	1
7.8901	1
4.96696	1
2.11141	0
6.03984	1
7.48576	1
7.55864	1
9.93504	1
2.18498	0
4.25637	1
4.2385	1
3.18646	0
3.65333	1
4.77941	1
5.4209	1
2.6523	0
1.34364	0
3.01886	0
1.3648	0
3.177	0
6.79183	1
6.01341	1
9.97225	1
5.60915	1
5.48726	1
6.4235	1
7.26789	1
6.15814	1
5.885	1
6.05004	1
3.54785	0
7.77382	1
6.04603	1
3.09231	0
2.45631	0
0.71266	0
